date,ticker,name,type,quantity,price,fee,currency
2025-04-15T12:00:01Z,EXW1,iShares EURO STOXX 50 ETF (Dist),BUY,0.5027652,49.73,,EUR
2025-04-15T12:00:02Z,DBXJ,Xtrackers MSCI Japan UCITS ETF 1C,BUY,0.35532612,70.36,,EUR
2025-04-15T12:00:02Z,XUCD,Xtrackers MSCI USA Consumer Discretionary ETF (Dist),BUY,0.74239049,67.35,,EUR
2025-04-15T12:00:24Z,EXI2,iShares Dow Jones Global Titans 50 ETF (Dist),BUY,1.46725392,74.97,,EUR
2025-04-15T12:02:38Z,AMEM,Amundi MSCI Emerging Markets ETF (Acc),BUY,5.25254179,4.76,,EUR
2025-04-15T12:02:49Z,IS3K,iShares High Yield Corporate Bond Dist ETF,BUY,0.65466448,76.38,,EUR
2025-04-15T12:03:01Z,XDWT,Xtrackers MSCI World Information Technology UCITS ETF,BUY,1.38715493,72.09,,EUR
2025-04-15T12:03:13Z,IS3Q,iShares Edge MSCI World Quality Factor UCITS ETF (Acc),BUY,1.80257509,58.25,,EUR
2025-04-22T13:45:01Z,EXW1,iShares EURO STOXX 50 ETF (Dist),BUY,0.18077849,49.84,,EUR
2025-04-22T13:45:01Z,XUCD,Xtrackers MSCI USA Consumer Discretionary ETF (Dist),BUY,0.32771535,64.08,,EUR
2025-04-22T13:45:01Z,DBXJ,Xtrackers MSCI Japan UCITS ETF 1C,BUY,0.12209076,71.75,,EUR
2025-04-22T13:45:03Z,AMEM,Amundi MSCI Emerging Markets ETF (Acc),BUY,1.95685214,4.74,,EUR
2025-04-22T13:45:28Z,IS3K,iShares High Yield Corporate Bond Dist ETF,BUY,0.24381038,76.04,,EUR
2025-04-22T13:45:35Z,IS3Q,iShares Edge MSCI World Quality Factor UCITS ETF (Acc),BUY,0.73936924,56.44,,EUR
2025-04-22T13:45:40Z,EXI2,iShares Dow Jones Global Titans 50 ETF (Dist),BUY,0.63182135,71.65,,EUR
2025-04-22T13:45:45Z,XDWT,Xtrackers MSCI World Information Technology UCITS ETF,BUY,0.62974404,67.98,,EUR
2025-05-02T13:45:02Z,DBXJ,Xtrackers MSCI Japan UCITS ETF 1C,BUY,0.05748667,74.97,,EUR
2025-05-02T13:45:02Z,IS3Q,iShares Edge MSCI World Quality Factor UCITS ETF (Acc),BUY,0.23373414,60.71,,EUR
2025-05-02T13:45:02Z,XUCD,Xtrackers MSCI USA Consumer Discretionary ETF (Dist),BUY,0.06331077,70.92,,EUR
2025-05-02T13:45:04Z,XDWT,Xtrackers MSCI World Information Technology UCITS ETF,BUY,0.04843709,77.42,,EUR
2025-05-02T13:45:05Z,EXW1,iShares EURO STOXX 50 ETF (Dist),BUY,0.06999437,53.29,,EUR
